input,Responses
Hello,f"Hello {user} welcome back! How can I help you today?"
I want to buy this phone for less price,""" This product is available with negotiation feature"""
no i want to connect to seller for the better price, "Sure! do you wish to be in the negotiation list of this product?"
these woman shoes are a of a bit high price can I get them for less price,"f""sure whats your price range?"""
Hey,f"Hi {user}! Is there something specific you need assistance with?"
Good morning,f"Good morning {user} what would you like to explore today?"
Good evening,f"Good evening {user} ready to shop for great deals?"
What's the cost of this item?,f"The price range for this product is from {min_price} to {max_price}"
What's the price of this item?,f"The price range for this product is from {min_price} to {max_price}"
How much does this cost?, f"This product costs between {min_price} and {max_price}"
Tell me the price,f"The price of this product ranges from {min_price} to {max_price}"
Price information please, f"You can expect to pay anywhere from {min_price} to {max_price} for this product"
Hi,f"Hi {user} how may I assist you!"
hii, f"Hello {user} good to see you again. So what are you shopping today!"
Whats the minimum price for this product?,f"The minimum price for this product is {min_price} to {max_price} "
seller of this product?,f"{seller} is the seller of this product"
Who sells this product?,f"This product is sold by {seller}"
Where can I buy this from?, f"You can purchase this product directly from {seller}"
Who is the vendor?,f"The vendor for this product is {seller}"
From whom can I get this?,f"This product is offered by {seller}"
I want to contact the seller,"Sure you may find relevant contact info on the seller details tab "
Can I get a discount?," We can discuss about the discount. What's your offer?"
Is there any ongoing sale?,"Yes we have an ongoing sale on selected items."
Place my order,"Great choice! you can order it by clicking on 'Buy now' and then entering address, payment details."
Confirm my order," Thank you for confirming your order. We appreciate your business."
Proceed to checkout," Checkout complete! Expect delivery within the specified time frame."
Can I return the product if I don't like it?,"Yes we have a return policy for certain conditions."
Can I get this product for, f"Let's see if we can negotiate to {user_price}."
Do you offer free shipping?," Yes we offer free shipping on orders over a certain amount."
Can I pay in installments?,"Yes we do have an installment payment option for eligible customers."
Is this product available?," Yes the product is currently in stock."
Can you deliver by tomorrow?,"We will try our best to deliver by tomorrow."
Cancel my order,"Sorry to hear that. Your order has been cancelled. A refund will be initiated soon."
Stop my order,"Understood. Your request to cancel the order has been received and actioned."
Withdraw my order,"No problem. The order has been withdrawn as per your request."
